cate,JobTitle,CompanyName,Location,Url,p10_salary,p50_salary,p90_salary,LocationStates
cloud-engineer,Senior Software Engineer,Intuit Inc.,"Atlanta, GA","https://www.glassdoor.com/job-listing/senior-software-engineer-intuit-JV_IC1155583_KO0,24_KE25,31.htm?jl=1009217957795",134400,152273,172523,GA
cloud-engineer,Senior Application Support Engineer,Alkami Technology Inc.,"Plano, TX","https://www.glassdoor.com/job-listing/senior-application-support-engineer-alkami-technology-JV_IC1140045_KO0,35_KE36,53.htm?jl=1009205715407",85912,100663,117947,TX
cloud-engineer,Sr. Elastic Cloud Engineer,"Marathon TS, Inc.","Fairfax, VA","https://www.glassdoor.com/job-listing/sr-elastic-cloud-engineer-marathon-ts-JV_IC1130359_KO0,25_KE26,37.htm?jl=1009216064579",150000,165000,180000,VA
cloud-engineer,Junior Infrastructure Engineer,"Armacell, LLC","Chapel Hill, NC","https://www.glassdoor.com/job-listing/junior-infrastructure-engineer-armacell-JV_IC1138696_KO0,30_KE31,39.htm?jl=1009183324246",80000,92500,105000,NC
cloud-engineer,Sr. Software Engineer - Windows Sensor (Remote),CrowdStrike,Remote,"https://www.glassdoor.com/job-listing/sr-software-engineer-windows-sensor-remote-crowdstrike-JV_KO0,42_KE43,54.htm?jl=1009215911522",130000,167500,205000,Remote
cloud-engineer,Cloud Platform Engineer,IDEAS Orlando,"Bloomington, MN","https://www.glassdoor.com/job-listing/cloud-platform-engineer-ideas-JV_IC1162257_KO0,23_KE24,29.htm?jl=1009174237049",95391,119082,148656,MN
cloud-engineer,FedNow Sr Cloud Infrastructure Engineer,Federal Reserve Bank of Boston,"Boston, MA","https://www.glassdoor.com/job-listing/fednow-sr-cloud-infrastructure-engineer-federal-reserve-bank-of-boston-JV_IC1154532_KO0,39_KE40,70.htm?jl=1009173010092",120121,138677,160100,MA
cloud-engineer,Sr Cloud DevOps Engineer,Bank of America Corporation,"Chicago, IL","https://www.glassdoor.com/job-listing/sr-cloud-devops-engineer-bank-of-america-JV_IC1128808_KO0,24_KE25,40.htm?jl=1009201017029",142800,168900,195000,IL
cloud-engineer,"SRE AWS Cloud Engineer | Berkeley Heights, NJ | W2 Role",,"Berkeley Heights, NJ","https://www.glassdoor.com/job-listing/sre-aws-cloud-engineer-berkeley-heights-nj-w2-role-teknotrain-JV_IC1157307_KO0,50_KE51,61.htm?jl=1009221977778",80,80,80,NJ
cloud-engineer,Cloud Specialist (Remote),W.B. Mason Company,"Brockton, MA","https://www.glassdoor.com/job-listing/cloud-specialist-remote-wb-mason-company-inc-JV_IC1154539_KO0,23_KE24,44.htm?jl=1009158190352",41499,54817,72410,MA
cloud-engineer,"Cloud Software Engineer, Associate",Peraton,"Laurel, MD","https://www.glassdoor.com/job-listing/cloud-software-engineer-associate-peraton-JV_IC1153871_KO0,33_KE34,41.htm?jl=1009137301010",86000,112000,138000,MD
cloud-engineer,Lead Cloud Engineer,Federal Reserve Bank of San Francisco,"San Francisco, CA","https://www.glassdoor.com/job-listing/lead-cloud-engineer-federal-reserve-bank-of-san-francisco-JV_IC1147401_KO0,19_KE20,57.htm?jl=1009136584689",155700,155700,155700,CA
cloud-engineer,Senior Cloud Engineer,Johnson & Johnson,"Raritan, NJ","https://www.glassdoor.com/job-listing/senior-cloud-engineer-johnson-johnson-JV_IC1126955_KO0,21_KE22,37.htm?jl=1009119371064",99000,134600,170200,NJ
cloud-engineer,Senior Cloud Engineer,Foundry Digital Llc,"Rochester, NY","https://www.glassdoor.com/job-listing/senior-cloud-engineer-foundry-JV_IC1132765_KO0,21_KE22,29.htm?jl=1009146211433",105000,147500,190000,NY
cloud-engineer,"Software Development Engineer, Secure Cloud Gateway","Amazon.com, Inc.","Herndon, VA","https://www.glassdoor.com/job-listing/software-development-engineer-secure-cloud-gateway-amazon-development-center-us-inc-b02-JV_IC1130374_KO0,50_KE51,87.htm?jl=1009207659927",115000,115000,115000,VA
cloud-engineer,"Senior Systems Engineer, Cloud Infrastructure",ServiceNow,"Kirkland, WA","https://www.glassdoor.com/job-listing/senior-systems-engineer-cloud-infrastructure-servicenow-JV_IC1150472_KO0,44_KE45,55.htm?jl=1009222310026",137000,185000,233000,WA
cloud-engineer,Systems Cloud Engineer,New York Institute of Technology,"Old Westbury, NY","https://www.glassdoor.com/job-listing/systems-cloud-engineer-new-york-institute-of-technology-JV_IC1132358_KO0,22_KE23,55.htm?jl=1009160277615",120000,120000,120000,NY
cloud-engineer,IT Cloud Engineer,Carlisle Companies Incorporated,United States,"https://www.glassdoor.com/job-listing/it-cloud-engineer-carlisle-interconnect-technologies-JV_KO0,17_KE18,52.htm?jl=1009219866928",74043,102602,131161,United States
cloud-engineer,Data Center Engineer (Infrastructure/Cloud),"Dobbs Defense Solutions,","Annapolis Junction, MD","https://www.glassdoor.com/job-listing/data-center-engineer-infrastructure-cloud-dobbs-defense-solutions-llc-JV_IC1153524_KO0,41_KE42,69.htm?jl=1009175543348",76655,97787,124744,MD
cloud-engineer,Senior Cloud Engineer,National Storage Affiliates,"Englewood, CO","https://www.glassdoor.com/job-listing/senior-cloud-engineer-national-storage-affiliates-JV_IC1148176_KO0,21_KE22,49.htm?jl=1009218862696",110000,115000,120000,CO
cloud-engineer,Cloud Systems Engineer,NICE Actimize,"Edina, MN","https://www.glassdoor.com/job-listing/cloud-systems-engineer-nice-systems-JV_IC1162277_KO0,22_KE23,35.htm?jl=1009182605406",90756,105954,123697,MN
cloud-engineer,"Public Cloud Engineer (0520U), Infrastructure Services - 64417",UC Berkeley Extension,"Berkeley, CA","https://www.glassdoor.com/job-listing/public-cloud-engineer-0520u-infrastructure-services-64417-university-of-california-berkeley-JV_IC1147330_KO0,57_KE58,91.htm?jl=1009124175763",105500,117750,130000,CA
cloud-engineer,Cloud Services Engineer,"Alvaria, Inc.",United States,"https://www.glassdoor.com/job-listing/cloud-services-engineer-alvaria-inc-JV_KO0,23_KE24,35.htm?jl=1009209978604",80000,83330,86660,United States
cloud-engineer,Sr Packaging Engineer,The Hershey Company,"Hershey, PA","https://www.glassdoor.com/job-listing/sr-packaging-engineer-the-hershey-company-JV_IC1152186_KO0,21_KE22,41.htm?jl=1009198972171",70595,87988,109667,PA
cloud-engineer,Cloud Engineer,"Loudoun County, Leesburg, VA","Leesburg, VA","https://www.glassdoor.com/job-listing/cloud-engineer-loudoun-county-government-JV_IC1130376_KO0,14_KE15,40.htm?jl=1009122211879",84075,117705,151335,VA
cloud-engineer,Cloud Software Engineer 1 - Java/Quarkus/PrimeFaces,"Captivation Software, LLC","Annapolis Junction, MD","https://www.glassdoor.com/job-listing/cloud-software-engineer-1-java-quarkus-primefaces-captivation-software-JV_IC1153524_KO0,49_KE50,70.htm?jl=1009184985271",130000,200000,270000,MD
cloud-engineer,Infrastructure Engineer,Tencent Holdings Limited,"Palo Alto, CA","https://www.glassdoor.com/job-listing/infrastructure-engineer-tencent-JV_IC1147434_KO0,23_KE24,31.htm?jl=1009222101852",77550,116530,155510,CA
cloud-engineer,Senior Software Engineer,"Leidos Holdings, Inc.","Columbia, MD","https://www.glassdoor.com/job-listing/senior-software-engineer-leidos-JV_IC1153546_KO0,24_KE25,31.htm?jl=1009222232582",144300,202575,260850,MD
cloud-engineer,Software Engineer III - SRE- Private Cloud Platforms/UI Angular,JPMorgan Chase & Co,"Jersey City, NJ","https://www.glassdoor.com/job-listing/software-engineer-iii-sre-private-cloud-platforms-ui-angular-jpmorgan-chase-co-JV_IC1126819_KO0,60_KE61,78.htm?jl=1009212253374",128250,154125,180000,NJ
cloud-engineer,DevOps Engineer,Applied Insight LLC,"Laurel, MD","https://www.glassdoor.com/job-listing/devops-engineer-applied-insight-JV_IC1153871_KO0,15_KE16,31.htm?jl=1009203331323",83807,106414,135118,MD
cloud-engineer,Sr Engineer - Project Engineering,L'Oréal SA,"North Little Rock, AR","https://www.glassdoor.com/job-listing/sr-engineer-project-engineering-l-oreal-JV_IC1143197_KO0,31_KE32,39.htm?jl=1009193212650",70816,92942,121982,AR
cloud-engineer,Senior Customer Experience Engineer,Microsoft Corporation,"Redmond, WA","https://www.glassdoor.com/job-listing/senior-customer-experience-engineer-microsoft-JV_IC1150499_KO0,35_KE36,45.htm?jl=1009210125914",112000,165200,218400,WA
cloud-engineer,"ADC Engineer I, Amazon Dedicated Cloud Engineering - Support Engineering","Amazon Web Services, Inc","Seattle, WA","https://www.glassdoor.com/job-listing/adc-engineer-i-amazon-dedicated-cloud-engineering-support-engineering-amazon-web-services-inc-JV_IC1150505_KO0,69_KE70,93.htm?jl=1009153871915",81900,81900,81900,WA
cloud-engineer,"Cloud Systems Engineer (HYBRID- Parsippany, NJ)","Managed Health Care Associates, Inc. ","Parsippany, NJ","https://www.glassdoor.com/job-listing/cloud-systems-engineer-hybrid-parsippany-nj-managed-health-care-associates-JV_IC1126931_KO0,43_KE44,74.htm?jl=1009107607362",114003,137110,164901,NJ
cloud-engineer,Sr. Software Engineer,23andMe,"Sunnyvale, CA","https://www.glassdoor.com/job-listing/sr-software-engineer-23andme-JV_IC1147442_KO0,20_KE21,28.htm?jl=1009196461062",150000,187000,224000,CA
cloud-engineer,"Front End Engineer II, AWS Platform Cloud Operations","Amazon.com, Inc.","Seattle, WA","https://www.glassdoor.com/job-listing/front-end-engineer-ii-aws-platform-cloud-operations-amazon-development-center-us-inc-JV_IC1150505_KO0,51_KE52,84.htm?jl=1009060647555",115000,115000,115000,WA
cloud-engineer,Cloud Solution Architect,,"Minneapolis, MN","https://www.glassdoor.com/job-listing/cloud-solution-architect-siri-info-solution-JV_IC1142551_KO0,24_KE25,43.htm?jl=1009184725091",150000,155000,160000,MN
cloud-engineer,DevOps Engineer,"Medpace, Inc.","Cincinnati, OH","https://www.glassdoor.com/job-listing/devops-engineer-medpace-inc-JV_IC1145705_KO0,15_KE16,27.htm?jl=1009068840823",80895,97126,116614,OH
cloud-engineer,Systems Engineer (Cloud),Swisher International Group Inc.,"Jacksonville, FL","https://www.glassdoor.com/job-listing/systems-engineer-cloud-swisher-JV_IC1154093_KO0,22_KE23,30.htm?jl=1009157111606",57485,72243,90788,FL
cloud-engineer,Infrastructure Engineer,"MongoDB, Inc. formerly 10gen, Inc.",United States,"https://www.glassdoor.com/job-listing/infrastructure-engineer-mongodb-JV_KO0,23_KE24,31.htm?jl=1009205536678",101000,149500,198000,United States
cloud-engineer,DevOps Engineer,"Syracuse Research Corporation, Inc.","Fairborn, OH","https://www.glassdoor.com/job-listing/devops-engineer-src-inc-JV_IC1145941_KO0,15_KE16,23.htm?jl=1009133624927",86612,108670,136346,OH
cloud-engineer,Full Stack Cloud Software Engineer,Booz Allen Hamilton Inc.,"Fort Meade, MD","https://www.glassdoor.com/job-listing/full-stack-cloud-software-engineer-booz-allen-JV_IC1165756_KO0,34_KE35,45.htm?jl=1009117440485",84600,138800,193000,MD
cloud-engineer,Computer Programmers/DevOps Engineer,Genuine IT LLC,"Houston, TX","https://www.glassdoor.com/job-listing/computer-programmers-devops-engineer-genuineit-JV_IC1140171_KO0,36_KE37,46.htm?jl=1009119678559",67186,82197,100561,TX
cloud-engineer,Sr. Software Engineer,American Express Company,"Phoenix, AZ","https://www.glassdoor.com/job-listing/sr-software-engineer-amex-JV_IC1133904_KO0,20_KE21,25.htm?jl=1009218816709",110000,150000,190000,AZ
cloud-engineer,"Software Engineer 3, Cloud Billing","MongoDB, Inc. formerly 10gen, Inc.","New York, NY","https://www.glassdoor.com/job-listing/software-engineer-3-cloud-billing-mongodb-JV_IC1132348_KO0,33_KE34,41.htm?jl=1009137122179",101000,149500,198000,NY
